,id_x,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,renov_yr_clean,view_ord,condition_ord,grade_ord,age,id_y,latitude,longitude,airbnb_avg_price,house_price
0,7129300520,2014-10-13,3,1.0,1180,5650,1.0,0,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,1955.0,0.0,2.0,4.0,60,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,221900.0
1,4060000240,2014-06-23,2,1.0,880,6780,1.0,0,880,0.0,1945,0.0,98178,47.5009,-122.248,1190,6780,1945.0,0.0,3.0,3.0,70,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,205425.0
2,4058801670,2014-07-17,3,2.25,2100,8201,1.0,0,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,1967.0,2.0,2.0,5.0,48,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,445000.0
3,2976800796,2014-09-25,3,1.0,1300,5898,1.0,0,1300,0.0,1961,0.0,98178,47.5053,-122.255,1320,7619,1961.0,0.0,2.0,4.0,54,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,236000.0
4,6874200960,2015-02-27,2,1.0,860,5265,1.0,0,860,0.0,1931,0.0,98178,47.5048,-122.272,1650,8775,1931.0,0.0,2.0,3.0,84,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,170000.0
5,4268200055,2015-05-01,3,1.75,1740,11547,1.0,0,1740,0.0,1954,0.0,98178,47.4945,-122.22,880,78408,1954.0,0.0,2.0,4.0,61,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,245000.0
6,3969300030,2014-07-23,4,1.0,1000,7134,1.0,0,1000,0.0,1943,0.0,98178,47.4897,-122.24,1020,7138,1943.0,0.0,2.0,3.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,165000.0
7,3969300030,2014-12-29,4,1.0,1000,7134,1.0,0,1000,0.0,1943,0.0,98178,47.4897,-122.24,1020,7138,1943.0,0.0,2.0,3.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,239900.0
8,1678400105,2015-02-12,4,1.5,2390,7480,1.5,0,2390,0.0,1920,0.0,98178,47.504,-122.227,2850,6867,1920.0,2.0,2.0,4.0,95,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,339000.0
9,2172000075,2014-06-23,2,2.0,1610,17600,2.0,0,1610,0.0,1930,1983.0,98178,47.4855,-122.266,1310,12950,1983.0,0.0,2.0,3.0,85,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,290900.0
10,1180003090,2014-09-06,2,1.0,630,6000,1.0,0,630,0.0,1943,2005.0,98178,47.4973,-122.221,1470,6840,2005.0,0.0,2.0,3.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,190000.0
11,561000075,2014-12-31,3,1.0,1180,5350,1.5,0,1180,0.0,1959,0.0,98178,47.505,-122.259,1490,5350,1959.0,0.0,3.0,3.0,56,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,260000.0
12,1123049053,2015-02-13,4,2.5,1840,9611,2.0,0,1840,0.0,1996,0.0,98178,47.4964,-122.251,1830,8505,1996.0,0.0,2.0,4.0,19,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,360000.0
13,7812800565,2014-08-14,3,1.0,960,6400,1.0,0,820,140.0,1944,0.0,98178,47.496,-122.239,1200,6600,1944.0,0.0,3.0,3.0,71,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,289500.0
14,3348401740,2015-01-27,2,1.5,1120,17487,1.0,0,1120,0.0,1924,0.0,98178,47.5024,-122.271,1690,8056,1924.0,0.0,2.0,3.0,91,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,188000.0
15,2171400197,2014-09-18,5,3.0,2520,5500,1.0,0,1550,970.0,2004,0.0,98178,47.4938,-122.255,1700,8000,2004.0,0.0,2.0,5.0,11,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,350000.0
16,5476200160,2014-07-25,3,1.0,1250,5411,1.0,0,1250,0.0,1980,0.0,98178,47.5064,-122.265,1490,6320,1980.0,0.0,2.0,4.0,35,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,164808.0
17,9368700223,2015-02-02,4,3.0,2010,7426,1.0,0,1090,920.0,1951,0.0,98178,47.5042,-122.265,1470,7426,1951.0,0.0,4.0,4.0,64,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,310000.0
18,7567600045,2014-08-27,2,1.0,1150,12775,1.0,1,1150,0.0,1908,0.0,98178,47.502,-122.222,2440,11852,1908.0,4.0,3.0,3.0,107,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,825000.0
19,2171400126,2014-06-05,3,1.0,1690,4250,1.0,0,1020,670.0,1967,0.0,98178,47.4945,-122.258,1820,8865,1967.0,0.0,2.0,4.0,48,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,269000.0
20,3352402236,2014-12-15,3,2.0,1150,6000,1.0,0,1150,0.0,1956,0.0,98178,47.49800000000001,-122.263,1980,6360,1956.0,0.0,4.0,4.0,59,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,252500.0
21,8069000075,2014-12-29,4,1.75,2460,10061,1.0,1,1410,1050.0,1961,0.0,98178,47.5105,-122.238,2300,10061,1961.0,4.0,2.0,4.0,54,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,790000.0
22,7812800310,2014-06-25,2,1.0,1120,5650,1.0,0,1120,0.0,1944,0.0,98178,47.4979,-122.241,1270,6875,1944.0,0.0,2.0,3.0,71,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,260000.0
23,2171400218,2015-04-16,4,1.5,1280,8000,1.0,0,1280,0.0,1960,0.0,98178,47.4949,-122.255,1420,8211,1960.0,0.0,2.0,3.0,55,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,245000.0
24,8073000550,2015-04-15,4,3.75,3190,17186,2.0,1,3190,0.0,1999,0.0,98178,47.5115,-122.246,2290,13496,1999.0,4.0,2.0,7.0,16,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,1700000.0
25,4058800830,2015-03-18,6,3.0,3840,14040,1.5,0,2460,1380.0,1949,0.0,98178,47.506,-122.241,2170,6765,1949.0,3.0,2.0,5.0,66,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,612000.0
26,9368700341,2014-08-22,3,2.0,2110,6900,1.5,0,1220,890.0,1955,0.0,98178,47.504,-122.26,1350,7683,1955.0,0.0,4.0,3.0,60,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,285000.0
27,1180002378,2014-09-26,4,2.5,1950,3000,2.0,0,1950,0.0,2002,0.0,98178,47.4977,-122.226,1170,6000,2002.0,0.0,2.0,4.0,13,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,299000.0
28,185000118,2015-02-23,4,2.0,1880,7500,1.0,0,980,900.0,1946,0.0,98178,47.495,-122.266,1670,14350,1946.0,0.0,4.0,3.0,69,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,212000.0
29,3810000860,2015-05-06,4,1.5,1920,7973,1.0,0,1920,0.0,1955,0.0,98178,47.4961,-122.235,2020,8840,1955.0,0.0,2.0,5.0,60,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,240000.0
30,3810000565,2014-07-02,4,2.0,2430,8960,1.0,0,1430,1000.0,1960,0.0,98178,47.4979,-122.232,2430,8960,1960.0,0.0,2.0,4.0,55,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,255000.0
31,1180500070,2014-11-24,4,2.5,2330,7050,2.0,0,2330,0.0,1998,0.0,98178,47.5001,-122.231,1810,5424,1998.0,0.0,2.0,5.0,17,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,335000.0
32,179000350,2014-11-05,3,1.5,1010,5000,1.0,0,1010,0.0,1943,0.0,98178,47.4925,-122.278,980,5000,1943.0,0.0,2.0,3.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,194000.0
33,3810000202,2014-09-05,3,2.25,1810,11800,1.0,0,1240,570.0,1977,0.0,98178,47.4997,-122.231,1810,5641,1977.0,0.0,2.0,4.0,38,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,251700.0
34,4058802105,2014-09-04,3,1.0,1450,6776,1.0,0,1450,0.0,1952,0.0,98178,47.5056,-122.244,1680,7200,1952.0,0.0,2.0,4.0,63,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,150000.0
35,2976800550,2015-04-14,3,1.5,1130,7200,1.0,0,1130,0.0,1954,0.0,98178,47.5041,-122.253,1130,7200,1954.0,0.0,2.0,4.0,61,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,280005.0
36,3810000465,2014-05-20,2,1.0,1770,5522,1.5,0,960,810.0,1943,0.0,98178,47.4974,-122.231,1830,7378,1943.0,0.0,3.0,4.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,243000.0
37,7129300400,2014-08-14,6,2.0,2350,6554,2.0,0,2000,350.0,1905,0.0,98178,47.5115,-122.256,1560,6554,1905.0,1.0,2.0,5.0,110,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,400000.0
38,7878400135,2014-11-20,3,2.25,2550,9674,1.0,0,1850,700.0,1959,0.0,98178,47.4856,-122.247,2240,9674,1959.0,0.0,2.0,4.0,56,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,355000.0
39,7887200390,2014-09-26,3,1.0,1320,9520,1.0,0,990,330.0,1953,0.0,98178,47.4857,-122.253,1460,10610,1953.0,0.0,2.0,4.0,62,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,294000.0
